max_iter,learning_rate_init,hidden_layer_sizes_1,early_stopping,activation,validation_score
1000,0.01,150,False,relu,0.7546703672211124
1000,0.1,25,True,tanh,0.7537518801956684
1000,0.01,125,False,relu,0.7523376199565187
1000,0.01,75,False,tanh,0.7513794925228492
1000,0.1,150,True,relu,0.7480832406189857
1000,0.01,100,False,relu,0.7473031855437355
1000,0.1,100,False,tanh,0.7464907261909162
1000,0.01,10,False,tanh,0.7437539896873231
1000,0.01,125,False,tanh,0.7433166288542083
1000,0.01,50,False,tanh,0.7433050811359976
1000,0.1,100,False,relu,0.741974464303776
1000,0.1,25,False,tanh,0.7410851306685622
1000,0.01,25,False,relu,0.7410064325825586
1000,0.1,50,False,tanh,0.740389872883346
1000,0.01,25,False,tanh,0.7398685110282066
1000,0.01,150,True,relu,0.7395954597986358
1000,0.01,100,False,tanh,0.7384346047151398
1000,0.01,25,True,tanh,0.7376946467380535
1000,0.01,150,False,tanh,0.7376012677685371
1000,0.01,125,True,relu,0.7372316561628869
1000,0.1,50,False,relu,0.7354379735442336
1000,0.01,50,True,tanh,0.7350267650857922
1000,0.1,150,False,tanh,0.7349130669720296
1000,0.1,125,False,tanh,0.7346671461242589
1000,0.01,50,False,relu,0.7328391802591347
1000,0.1,125,True,relu,0.7305919347297674
1000,0.1,50,True,tanh,0.730548075167545
1000,0.1,100,True,relu,0.729852082166023
1000,0.01,100,True,relu,0.7285870225368685
1000,0.1,50,True,relu,0.7263495944929574
1000,0.1,5,False,tanh,0.7252770121072218
1000,0.01,75,False,relu,0.7251253545846738
1000,0.1,25,True,relu,0.7249150621077673
1000,0.01,50,True,relu,0.724124602197588
1000,0.001,100,False,relu,0.7237547617271375
1000,0.001,125,False,relu,0.7235973948222288
1000,0.1,150,True,tanh,0.7225396027457383
1000,0.001,150,False,relu,0.7222727894168068
1000,0.1,75,False,tanh,0.7218877631465394
1000,0.1,75,True,tanh,0.7214043447992371
1000,0.01,25,True,relu,0.7211314430810929
1000,0.1,10,False,tanh,0.7204869544633039
1000,0.1,5,False,relu,0.7184569477241551
1000,0.1,75,False,relu,0.7174229061692801
1000,0.001,150,True,relu,0.717254231019328
1000,0.001,100,True,relu,0.7159310278928337
1000,0.001,125,True,relu,0.7158452012704564
1000,0.01,10,True,relu,0.7156408381636132
1000,0.01,75,True,relu,0.7153193454423942
1000,0.01,5,False,tanh,0.7142535513356796
1000,0.1,10,False,relu,0.7133143300281616
1000,0.01,10,False,relu,0.7110698977647348
1000,0.001,25,True,relu,0.7104397415493766
1000,0.001,25,False,relu,0.7088295999364685
1000,0.1,5,True,tanh,0.7072681998383855
1000,0.1,25,False,relu,0.7062371635204217
1000,0.001,75,True,relu,0.7053449233576576
1000,0.1,10,True,tanh,0.7049158481000755
1000,0.001,75,False,relu,0.7048000417149318
1000,0.1,125,True,tanh,0.7038943221287484
1000,0.01,5,True,tanh,0.703289649391131
1000,0.01,5,False,relu,0.7023267422764389
1000,0.1,10,True,relu,0.701852439961933
1000,0.1,100,True,tanh,0.701580036075974
1000,0.1,125,False,relu,0.7014067274107014
1000,0.01,10,True,tanh,0.6999588449718671
1000,0.001,50,True,relu,0.6974804100766462
1000,0.001,50,False,relu,0.6970049679445753
1000,0.001,10,False,relu,0.6945133929259422
1000,0.001,10,True,relu,0.6932277449321069
1000,0.1,75,True,relu,0.6841535786851614
1000,0.001,10,False,tanh,0.6830628135432177
1000,0.001,10,True,tanh,0.6829543039886525
1000,0.01,5,True,relu,0.6819126297968421
1000,0.001,5,False,tanh,0.6678636813269877
1000,0.01,100,True,tanh,0.6666690695098805
1000,0.001,25,False,tanh,0.6666399843658273
1000,0.1,5,True,relu,0.6656557701313154
1000,0.01,125,True,tanh,0.6625501348207401
1000,0.001,100,False,tanh,0.6610905308714812
1000,0.001,5,False,relu,0.6586813214626424
1000,0.001,50,False,tanh,0.6570818705246184
1000,0.001,25,True,tanh,0.6563967397390983
1000,0.001,125,False,tanh,0.656241893733722
1000,0.001,50,True,tanh,0.6558549322672804
1000,0.001,100,True,tanh,0.65439761963372
1000,0.001,125,True,tanh,0.6538522060914063
1000,0.001,150,False,tanh,0.6529671192084647
1000,0.001,5,True,tanh,0.652847752424506
1000,0.001,75,False,tanh,0.6524503141641649
1000,0.01,75,True,tanh,0.6515052603431428
1000,0.01,150,True,tanh,0.6460747903497677
1000,0.001,150,True,tanh,0.643177056998745
1000,0.001,75,True,tanh,0.6362819234480213
1000,0.1,150,False,relu,0.6189628973783476
1000,0.001,5,True,relu,0.5930635199172869
